x	y	max
3	6	1.092
11	14	1.378
2	4	2.092
11	15	69.937
21	6	16.946
21	3	36.017
9	11	1.969
5	8	62.044
9	1	2.534
21	18	1.37
11	5	3.235
17	8	124.776
22	11	116.498
10	17	2.721
9	15	0.692
14	2	4.692
0	22	16.123
0	11	19.103
16	20	3.308
11	18	2.269
1	16	12.147
22	13	107.424
1	13	0.636
3	5	3.343
18	22	0.945
16	22	2.22
0	0	56.012
0	9	24.176
6	20	4.492
8	16	50.682
16	1	14.309
8	6	2.08
19	16	88.334
17	18	1.25
2	8	42.926
2	1	0.695
4	2	1.665
1	1	57.481
7	13	4.271
13	4	0.762
5	16	35.115
3	19	3.221
3	9	1.711
2	11	0.841
9	17	3.343
12	16	68.113
14	23	0.444
21	4	28.453
12	20	47.528
2	23	0.444
18	9	3.737
8	10	2.142
9	22	1.089
13	12	0.734
12	21	42.253
7	9	2.755
16	13	3.874
0	24	20.373
15	24	30.823
11	12	2.596
17	15	0.716
18	20	3.407
9	13	5.029
3	21	1.233
5	15	0.685
12	6	112.511
10	13	4.636
19	23	0.676
19	22	0.999
19	7	9.955
12	14	81.779
5	10	1.775
18	17	2.793
19	12	4.443
1	3	0.668
3	24	15.008
7	17	3.302
3	18	1.216
14	3	1.795
9	0	100.091
10	24	19.103
21	16	89.369
6	7	0.691
5	2	4.666
0	5	35.409
9	23	0.67
14	5	0.95
20	11	4.555
1	5	0.642
11	10	2.69
7	18	2.12
21	19	1.674
18	23	0.675
22	14	102.957
18	15	0.728
14	1	6.649
15	11	3.026
4	14	1.071
11	21	2.06
7	16	45.677
19	21	3.717
0	3	41.819
14	0	131.73
11	4	105.645
2	5	0.961
8	17	3.38
11	19	2.459
16	11	3.939
11	23	25.896
8	21	4.481
7	5	5.073
13	0	123.997
6	11	4.509
5	18	1.717
20	18	1.605
20	15	0.547
21	21	1.459
19	19	3.98
16	17	2.276
18	16	87.002
8	20	4.965
10	12	5.01
14	17	1.442
4	16	29.563
5	24	16.083
20	12	4.692
4	9	2.083
3	22	0.849
14	21	2.584
5	11	4.218
6	0	84.84
3	7	0.642
19	20	3.962
6	4	5.005
19	8	128.315
6	3	4.507
10	0	105.439
0	18	15.143
22	22	63.846
15	15	0.676
10	8	92.253
12	15	75.147
6	24	16.401
18	13	3.702
5	3	4.115
19	13	3.675
15	8	119.319
2	16	18.826
13	2	123.296
8	3	5.019
20	23	0.506
3	14	0.884
11	24	20.216
12	2	117.233
14	6	0.661
11	17	54.959
15	21	3.404
0	1	46.917
0	23	17.682
14	10	0.648
13	14	0.472
4	12	3.991
1	11	0.658
18	14	2.467
2	21	2.185
6	2	1.855
1	6	0.441
13	5	0.715
15	23	0.641
6	21	3.996
17	22	0.85
7	15	0.69
13	24	23.939
15	12	3.637
4	15	0.676
21	1	168.796
17	12	4.491
5	6	1.313
0	21	16.252
15	14	0.891
12	11	93.813
4	5	1.568
0	15	7.902
7	6	2.034
21	10	1.936
15	0	137.027
6	22	1.089
20	14	0.945
1	22	0.445
10	1	1.554
10	19	1.783
19	5	16.045
9	14	1.23
6	6	1.846
8	19	5.039
18	5	10.833
17	10	1.739
3	12	3.308
19	6	8.539
11	13	2.293
1	4	0.672
10	11	5.12
0	4	38.699
19	0	161.693
3	0	70.036
2	0	65.204
15	1	9.259
21	17	79.38
18	18	1.456
12	7	107.815
21	11	2.237
8	18	2.102
10	4	3.786
22	15	95.993
2	3	0.025
0	19	16.072
10	5	2.46
1	14	0.439
1	7	37.956
4	0	74.92
3	8	49.337
8	9	2.933
11	20	2.242
17	0	148.581
12	5	114.769
21	9	120.35
16	4	3.968
10	15	0.539
18	19	3.466
12	12	90.035
2	12	1.983
16	10	1.496
1	20	0.678
11	16	64.219
1	24	13.789
22	12	111.955
14	7	0.501
17	14	1.114
2	19	2.081
16	15	0.708
8	11	4.807
1	21	0.648
9	24	17.712
16	3	7.891
7	7	0.697
10	10	2.336
5	17	2.696
22	24	56.399
7	3	4.826
22	18	80.166
18	6	4.111
4	23	0.667
10	18	2.161
4	11	3.831
19	1	35.294
13	17	64.587
10	22	1.016
22	1	177.447
9	3	4.836
8	5	4.974
12	3	117.201
6	18	1.798
7	10	2.055
17	2	18.895
6	1	1.919
6	15	0.688
5	0	79.861
10	21	1.578
21	13	0.644
21	2	168.665
6	12	4.649
21	23	56.815
20	9	3.136
6	16	40.487
3	23	0.638
5	14	1.179
1	2	0.504
1	0	60.418
22	21	67.436
7	0	89.825
9	21	4.182
18	0	154.934
4	10	1.567
16	24	34.204
4	19	3.871
7	20	4.936
13	15	79.608
20	7	11.477
20	21	3.644
20	4	26.629
0	20	16.301
5	5	2.195
12	8	103.245
14	12	2.903
15	2	6.924
22	17	84.644
17	1	20.515
7	24	16.432
15	7	0.726
13	11	0.724
17	20	3.133
4	24	15.518
6	5	5.332
12	1	116.377
3	1	1.248
10	14	1.224
6	23	0.673
2	2	0.75
17	5	4.918
4	21	3.912
8	4	5.406
21	15	95.573
11	8	97.865
17	4	8.97
18	10	1.878
15	19	3.251
17	3	14.388
11	3	1.867
20	19	3.818
2	20	2.168
22	6	145.014
7	1	2.159
13	7	114.337
7	4	5.3
15	4	3.283
3	20	3.589
7	11	4.706
13	18	0.549
7	19	1.865
19	24	42.492
17	13	4.152
8	13	1.837
20	13	1.484
19	17	3.036
20	24	44.587
14	18	1.122
5	21	4.046
11	11	0.567
9	16	55.436
0	16	7.149
14	13	1.013
1	18	0.514
20	6	11.804
18	12	4.429
15	5	3.553
18	24	40.037
10	2	1.677
13	9	103.605
19	18	1.621
18	4	15.656
4	1	1.652
7	8	74.484
20	3	32.868
22	2	169.774
13	6	0.499
22	9	125.661
15	16	80.077
14	20	2.52
17	23	0.671
2	13	2.075
17	17	2.466
13	1	123.456
14	24	27.136
16	7	2.699
18	11	4.595
17	6	1.608
2	10	0.899
9	12	5.147
22	3	162.112
4	4	3.518
13	10	0.576
3	15	0.642
22	0	171.03
4	7	0.678
16	2	11.509
19	3	27.676
6	19	4.298
11	6	2.117
15	22	0.957
14	19	1.02
0	14	9.892
15	17	2.396
5	1	1.974
15	18	1.334
10	20	4.759
16	18	1.107
16	8	122.324
10	6	1.69
1	12	0.661
2	18	0.805
0	12	16.198
19	15	0.722
11	22	1.042
19	11	4.662
17	21	1.319
15	3	3.176
14	11	0.063
8	2	2.47
7	21	1.686
7	2	2.206
3	13	1.208
19	9	3.927
9	9	3.212
10	23	0.505
14	9	1.005
12	0	116.331
9	19	4.747
17	7	5.565
4	20	4.081
14	14	0.663
21	5	22.162
3	16	24.057
20	5	19.798
10	7	0.571
22	5	150.23
2	9	0.934
3	3	2.211
17	19	2.625
9	18	2.043
11	1	106.4
11	7	100.7
12	18	57.915
13	3	0.605
5	4	4.24
12	4	116.359
12	22	37.067
9	2	2.585
4	8	55.698
20	16	89.121
7	23	0.673
22	19	75.739
20	2	37.691
16	6	1.096
16	12	4.149
8	8	80.555
22	20	71.371
20	8	129.384
12	10	97.316
3	17	1.845
16	9	2.859
6	14	1.24
12	24	21.23
8	12	5.236
14	8	115.787
12	9	100.531
8	0	94.815
10	9	2.667
1	19	0.681
7	22	1.039
19	2	32.182
3	4	3.018
22	7	137.573
14	15	0.47
4	3	3.095
12	17	62.988
21	24	46.579
9	10	2.359
18	2	25.893
8	14	1.19
16	0	142.468
2	7	0.439
9	6	1.852
4	17	2.293
13	8	109.48
13	21	0.664
7	14	1.263
20	0	169.705
17	24	37.277
14	4	2.471
4	13	4.007
19	10	1.951
22	4	155.854
2	14	0.672
1	15	15.607
5	12	4.387
9	7	0.71
21	12	2.249
21	20	1.638
5	20	4.364
22	8	130.376
0	10	21.793
18	21	3.128
7	12	4.793
11	2	105.673
0	2	44.563
13	19	0.699
4	18	1.509
5	23	0.672
0	6	31.978
6	10	1.935
22	23	60.078
0	7	28.961
4	22	0.989
1	17	7.406
0	13	13.019
16	14	0.996
17	11	4.433
15	9	2.153
16	21	2.976
8	15	0.692
12	13	86.009
16	5	3.949
11	9	89.764
9	20	4.829
3	10	1.292
8	23	0.672
22	10	121.053
2	22	0.665
16	19	0.131
1	8	34.736
20	17	2.301
0	8	26.245
21	7	136.199
5	7	0.685
3	11	3.354
1	23	18.426
20	22	0.993
18	8	126.731
6	17	2.887
3	2	1.19
16	23	0.671
6	9	2.562
0	17	11.988
10	16	59.96
19	4	21.772
15	10	1.142
2	15	0.442
5	9	2.346
14	16	76.845
9	4	5.071
21	22	0.804
8	1	2.404
16	16	82.859
21	14	0.864
2	17	0.962
12	19	52.762
22	16	89.159
13	20	0.703
13	13	0.683
15	13	3.516
13	22	0.445
1	10	0.496
21	0	177.728
5	19	4.247
6	8	68.309
12	23	29.176
5	13	4.164
1	9	31.488
20	20	3.828
13	16	72.076
5	22	1.061
21	8	130.454
9	5	2.242
20	10	1.94
14	22	0.708
8	22	1.08
17	16	85.162
18	7	7.95
2	6	0.694
9	8	86.484
10	3	1.678
13	23	32.48
18	1	27.774
19	14	0.951
2	24	14.689
8	7	0.704
11	0	110.797
15	6	0.944
18	3	21.238
6	13	4.312
4	6	1.209
20	1	168.389
17	9	3.378
8	24	16.152
15	20	3.44